#q_sq i k_sq z Re(fg) Im(fg)
1e-06 11 1e-06 -0.997264 -0.000613482 0
1e-06 11 1e-06 -0.985612 -0.000613482 0
1e-06 11 1e-06 -0.964762 -0.000613482 0
1e-06 11 1e-06 -0.934906 -0.000613482 0
1e-06 11 1e-06 -0.896321 -0.000613482 0
1e-06 11 1e-06 -0.849368 -0.000613482 0
1e-06 11 1e-06 -0.794484 -0.000613482 0
1e-06 11 1e-06 -0.732182 -0.000613482 0
1e-06 11 1e-06 -0.663044 -0.000613482 0
1e-06 11 1e-06 -0.587716 -0.000613482 0
1e-06 11 1e-06 -0.5069 -0.000613482 0
1e-06 11 1e-06 -0.421351 -0.000613482 0
1e-06 11 1e-06 -0.331869 -0.000613482 0
1e-06 11 1e-06 -0.239287 -0.000613482 0
1e-06 11 1e-06 -0.144472 -0.000613482 0
1e-06 11 1e-06 -0.0483077 -0.000613482 0
1e-06 11 1e-06 0.0483077 -0.000613482 0
1e-06 11 1e-06 0.144472 -0.000613482 0
1e-06 11 1e-06 0.239287 -0.000613482 0
1e-06 11 1e-06 0.331869 -0.000613482 0
1e-06 11 1e-06 0.421351 -0.000613482 0
1e-06 11 1e-06 0.5069 -0.000613482 0
1e-06 11 1e-06 0.587716 -0.000613482 0
1e-06 11 1e-06 0.663044 -0.000613482 0
1e-06 11 1e-06 0.732182 -0.000613482 0
1e-06 11 1e-06 0.794484 -0.000613482 0
1e-06 11 1e-06 0.849368 -0.000613482 0
1e-06 11 1e-06 0.896321 -0.000613482 0
1e-06 11 1e-06 0.934906 -0.000613482 0
1e-06 11 1e-06 0.964762 -0.000613482 0
1e-06 11 1e-06 0.985612 -0.000613482 0
1e-06 11 1e-06 0.997264 -0.000613482 0
1e-06 11 1.41873e-06 -0.997264 -0.000613481 0
1e-06 11 1.41873e-06 -0.985612 -0.000613481 0
1e-06 11 1.41873e-06 -0.964762 -0.000613481 0
1e-06 11 1.41873e-06 -0.934906 -0.000613481 0
1e-06 11 1.41873e-06 -0.896321 -0.000613481 0
1e-06 11 1.41873e-06 -0.849368 -0.000613481 0
1e-06 11 1.41873e-06 -0.794484 -0.000613481 0
1e-06 11 1.41873e-06 -0.732182 -0.000613481 0
1e-06 11 1.41873e-06 -0.663044 -0.000613481 0
1e-06 11 1.41873e-06 -0.587716 -0.000613481 0
1e-06 11 1.41873e-06 -0.5069 -0.000613481 0
1e-06 11 1.41873e-06 -0.421351 -0.000613481 0
1e-06 11 1.41873e-06 -0.331869 -0.000613481 0
1e-06 11 1.41873e-06 -0.239287 -0.000613481 0
1e-06 11 1.41873e-06 -0.144472 -0.000613481 0
1e-06 11 1.41873e-06 -0.0483077 -0.000613481 0
1e-06 11 1.41873e-06 0.0483077 -0.000613481 0
1e-06 11 1.41873e-06 0.144472 -0.000613481 0
1e-06 11 1.41873e-06 0.239287 -0.000613481 0
1e-06 11 1.41873e-06 0.331869 -0.000613481 0
1e-06 11 1.41873e-06 0.421351 -0.000613481 0
1e-06 11 1.41873e-06 0.5069 -0.000613481 0
1e-06 11 1.41873e-06 0.587716 -0.000613481 0
1e-06 11 1.41873e-06 0.663044 -0.000613481 0
1e-06 11 1.41873e-06 0.732182 -0.000613481 0
1e-06 11 1.41873e-06 0.794484 -0.000613481 0
1e-06 11 1.41873e-06 0.849368 -0.000613481 0
1e-06 11 1.41873e-06 0.896321 -0.000613481 0
1e-06 11 1.41873e-06 0.934906 -0.000613481 0
1e-06 11 1.41873e-06 0.964762 -0.000613481 0
1e-06 11 1.41873e-06 0.985612 -0.000613481 0
1e-06 11 1.41873e-06 0.997264 -0.000613481 0
1e-06 11 2.01279e-06 -0.997264 -0.000613479 0
1e-06 11 2.01279e-06 -0.985612 -0.000613479 0
1e-06 11 2.01279e-06 -0.964762 -0.000613479 0
1e-06 11 2.01279e-06 -0.934906 -0.000613479 0
1e-06 11 2.01279e-06 -0.896321 -0.000613479 0
1e-06 11 2.01279e-06 -0.849368 -0.000613479 0
1e-06 11 2.01279e-06 -0.794484 -0.000613479 0
1e-06 11 2.01279e-06 -0.732182 -0.000613479 0
1e-06 11 2.01279e-06 -0.663044 -0.000613479 0
1e-06 11 2.01279e-06 -0.587716 -0.000613479 0
1e-06 11 2.01279e-06 -0.5069 -0.000613479 0
1e-06 11 2.01279e-06 -0.421351 -0.000613479 0
